COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,5/20/2022,111269,45247,193.32,78.613,43939,76.34,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/19/2020,3,23245,40.386
Norway,NOR,EURO,REPORTING,6/26/2022,11347724,4340045,211.4,80.857,4051749,75.486,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4,2962986,55.202
occupied Palestinian territory,PSE,EMRO,REPORTING,7/5/2022,3735608,2009161,73.227,39.384,1772790,34.751,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/2/2021,10,331793,6.504
Oman,OMN,EMRO,REPORTING,7/6/2022,7075878,3268765,138.563,64.01,3041332,59.557,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",12/29/2020,11,765781,14.996
Pakistan,PAK,EMRO,REPORTING,6/27/2022,287170265,153137989,130.005,69.327,130468130,59.064,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/3/2021,11,21011278,9.512
Palau,PLW,WPRO,REPORTING,6/24/2022,47642,20247,263.332,111.911,18043,99.729,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/3/2021,3,11704,64.692
Panama,PAN,AMRO,REPORTING,7/15/2022,8449454,3487798,195.826,80.834,3123937,72.401,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/20/2021,2,1660960,38.495
Papua New Guinea,PNG,WPRO,REPORTING,6/29/2022,466668,339974,5.216,3.8,280580,3.136,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3/30/2021,4,21585,0.241
Paraguay,PRY,AMRO,REPORTING,7/15/2022,9166555,3965418,128.517,55.596,3487974,48.902,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/22/2021,8,1520820,21.322
Peru,PER,AMRO,REPORTING,7/15/2022,79004320,29582775,239.611,89.721,27747656,84.156,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/9/2021,4,19096259,57.917
Philippines,PHL,WPRO,REPORTING,7/7/2022,155714847,76230775,142.1,69.566,71560263,65.303,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/1/2021,11,15279752,13.944
Pitcairn Islands,PCN,WPRO,REPORTING,2/28/2022,106,46,212,92,37,74,AstraZeneca - Vaxzevria,5/17/2021,1,23,46
Poland,POL,EURO,REPORTING,6/26/2022,54630536,22829363,143.9,60.144,22534178,59.366,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,12089724,31.85
Portugal,PRT,EURO,REPORTING,6/26/2022,24617451,9729313,239.1,94.593,8884962,86.296,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/23/2020,8,6731795,65.383
Puerto Rico,PRI,AMRO,REPORTING,7/15/2022,7396552,3063991,258.544,107.101,2674143,93.474,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",,3,1602591,56.018
Qatar,QAT,EMRO,REPORTING,7/10/2022,7269500,2736362,252.321,94.978,2736362,94.978,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,10,1796776,62.365
Republic of Korea,KOR,WPRO,REPORTING,7/7/2022,125873397,54546729,245.515,106.393,44551612,86.897,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/26/2021,5,33374446,65.097
Republic of Moldova,MDA,EURO,REPORTING,6/19/2022,2197380,1094958,54.5,27.143,1065301,26.408,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/3/2021,7,338542,8.392
Romania,ROU,EURO,REPORTING,6/26/2022,16041016,8175541,83,42.297,8124505,42.033,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/27/2021,4,1747022,9.038
Russian Federation,RUS,EURO,OWID,7/11/2022,168286901,81597163,115.3,55.914,74329141,50.933,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2,,
Rwanda,RWA,AFRO,REPORTING,7/10/2022,22931472,9129714,177.047,70.488,8733727,67.43,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/5/2021,7,5068031,39.129
Saint Helena,SHN,AFRO,OWID,5/5/2021,7892,4361,129.995,71.833,3531,58.162,AstraZeneca - AZD1222,,1,,
Saint Kitts and Nevis,KNA,AMRO,REPORTING,7/15/2022,58914,28629,110.757,53.822,26830,50.44,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021,3,3455,6.495
Saint Lucia,LCA,AMRO,REPORTING,7/15/2022,121813,59712,66.337,32.518,54436,29.645,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/2021,5,7665,4.174
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,7/15/2022,71811,36858,64.73,33.223,30984,27.929,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield",2/1/2021,5,3969,3.578
Samoa,WSM,WPRO,REPORTING,5/29/2022,439060,190053,221.285,95.786,174125,87.758,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",4/18/2021,2,74882,37.74
San Marino,SMR,EURO,REPORTING,5/22/2022,69338,26357,204.3,76.501,23633,68.595,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2/24/2021,2,19348,56.158
Sao Tome and Principe,STP,AFRO,REPORTING,7/3/2022,218850,124684,99.859,56.892,97402,44.444,"AstraZeneca - Vaxzevria,SII - Covishield",3/15/2021,2,22342,10.194
Saudi Arabia,SAU,EMRO,REPORTING,6/20/2022,66700629,26713922,191.592,76.734,25082132,72.046,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/6/2021,10,14904575,42.812
Senegal,SEN,AFRO,REPORTING,7/3/2022,2090701,1488563,12.486,8.89,1070503,6.393,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2/23/2021,3,10897,0.065
Serbia,SRB,EURO,REPORTING,6/12/2022,6708547,3391961,96.9,48.969,3316586,47.881,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,5,0,0
Seychelles,SYC,AFRO,REPORTING,7/3/2022,206959,85100,210.438,86.53,80864,82.223,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",1/10/2021,4,42536,43.251
Sierra Leone,SLE,AFRO,REPORTING,7/10/2022,3526274,2644113,44.206,33.147,1916574,24.026,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/15/2021,2,12864,0.161
Singapore,SGP,WPRO,REPORTING,7/4/2022,14242290,5020113,243.444,85.809,4998069,85.432,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,4224108,72.203
Sint Maarten,SXM,AMRO,REPORTING,7/15/2022,63735,28407,148.629,66.245,26417,61.604,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/22/2021,3,8911,20.78
Slovakia,SVK,EURO,REPORTING,6/26/2022,7079452,2822334,129.7,51.711,2772473,50.798,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",1/6/2021,6,1653030,30.287
Slovenia,SVN,EURO,REPORTING,6/26/2022,2957090,1236792,141.1,59.039,1206067,57.545,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,649605,30.995
Solomon Islands,SLB,WPRO,REPORTING,7/3/2022,482043,289502,70.178,42.147,187200,27.254,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",3/23/2021,4,5402,0.786
