COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,7/15/2022,37860994,22157232,133.145,77.92,14287370,50.244,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac",2/22/2021,6,651502,2.291
Viet Nam,VNM,WPRO,REPORTING,7/7/2022,234856999,86785069,241.278,89.158,80185029,82.377,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3/8/2021,6,61431250,63.111
Wallis and Futuna,WLF,WPRO,REPORTING,4/14/2022,16426,6592,146.061,58.616,6633,58.981,Moderna - Spikevax,3/19/2021,1,3201,28.463
Yemen,YEM,EMRO,REPORTING,7/4/2022,874886,708152,2.933,2.374,450163,1.509,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4/20/2021,11,80,0
Zambia,ZMB,AFRO,REPORTING,7/10/2022,7409521,6649681,40.304,36.171,4639500,25.237,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",4/14/2021,3,428303,2.33
Zimbabwe,ZWE,AFRO,REPORTING,7/3/2022,11804651,6289448,79.423,42.316,4637712,31.203,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",2/18/2021,4,877491,5.904
Bonaire,XAA,AMRO,REPORTING,7/15/2022,41223,17424,197.098,83.309,15854,75.802,,,,7945,37.987
Eritrea,ERI,AFRO,REPORTING,7/3/2022,,0,,0,0,0,,,,,
Saba,XCA,AMRO,REPORTING,7/15/2022,4419,1680,228.608,86.912,1639,84.79,,,,1100,56.906
Sint Eustatius,XBA,AMRO,REPORTING,7/15/2022,4257,1791,135.616,57.056,1686,53.711,,,,780,24.849
